epoch,lr-AdamW,step,test_acc,test_f1,test_loss,test_precision,test_recall,train_acc,train_f1,train_loss,train_precision,train_recall,val_acc,val_f1,val_loss,val_precision,val_recall
,0.001,48,,,,,,,,,,,,,,,
12,,51,,,,,,,,,,,0.23333333432674408,0.10696901381015778,3.0038490295410156,0.10817460715770721,0.15343914926052094
12,,51,,,,,,0.517241358757019,0.4099715054035187,2.0398342609405518,0.4192168414592743,0.44621267914772034,,,,,
,0.001,52,,,,,,,,,,,,,,,
13,,55,,,,,,,,,,,0.20000000298023224,0.09227272868156433,3.2302470207214355,0.07140151411294937,0.14646464586257935
13,,55,,,,,,0.5344827771186829,0.36520424485206604,1.9164432287216187,0.34860679507255554,0.43288829922676086,,,,,
,0.001,56,,,,,,,,,,,,,,,
14,,59,,,,,,,,,,,0.4000000059604645,0.252407431602478,3.2798097133636475,0.2539418041706085,0.30687829852104187
14,,59,,,,,,0.5431034564971924,0.39889663457870483,1.7888423204421997,0.4065883159637451,0.4557330906391144,,,,,
,0.001,60,,,,,,,,,,,,,,,
15,,63,,,,,,,,,,,0.23333333432674408,0.12757369875907898,3.3593316078186035,0.10664021968841553,0.18412698805332184
15,,63,,,,,,0.6551724076271057,0.5339077711105347,1.676241397857666,0.5666732788085938,0.5654100179672241,,,,,
,0.001,64,,,,,,,,,,,,,,,
16,,67,,,,,,,,,,,0.20000000298023224,0.1205892264842987,3.2623062133789062,0.10409452021121979,0.17575758695602417
16,,67,,,,,,0.6982758641242981,0.5302098989486694,1.5877585411071777,0.5183552503585815,0.5752741098403931,,,,,
,0.001,68,,,,,,,,,,,,,,,
17,,71,,,,,,,,,,,0.4000000059604645,0.27739131450653076,2.9429028034210205,0.276690810918808,0.32222220301628113
17,,71,,,,,,0.7155172228813171,0.5749634504318237,1.4879261255264282,0.5766196250915527,0.6165570020675659,,,,,
,0.001,72,,,,,,,,,,,,,,,
18,,75,,,,,,,,,,,0.4333333373069763,0.2821088433265686,3.021562337875366,0.25624340772628784,0.3682539761066437
18,,75,,,,,,0.8275862336158752,0.7188112735748291,1.371229648590088,0.7177871465682983,0.7600840330123901,,,,,
,0.001,76,,,,,,,,,,,,,,,
19,,79,,,,,,,,,,,0.4333333373069763,0.29606783390045166,2.89414644241333,0.3039141297340393,0.35151517391204834
19,,79,,,,,,0.8103448152542114,0.6543852686882019,1.318647027015686,0.6527473330497742,0.6739278435707092,,,,,
,0.001,80,,,,,,,,,,,,,,,
20,,83,,,,,,,,,,,0.4333333373069763,0.34603866934776306,3.155526638031006,0.3292270600795746,0.392270565032959
20,,83,,,,,,0.8706896305084229,0.8235238790512085,1.2285172939300537,0.8325755000114441,0.8507111668586731,,,,,
,0.001,84,,,,,,,,,,,,,,,
21,,87,,,,,,,,,,,0.4999999701976776,0.36756351590156555,2.958298683166504,0.35847222805023193,0.4188888967037201
21,,87,,,,,,0.8879310488700867,0.7898845076560974,1.169486165046692,0.7988395690917969,0.8032712340354919,,,,,
,0.001,88,,,,,,,,,,,,,,,
22,,91,,,,,,,,,,,0.5,0.40318840742111206,2.871080160140991,0.4010869860649109,0.4396135210990906
22,,91,,,,,,0.9224137663841248,0.8903610110282898,1.1284583806991577,0.8950738310813904,0.906272292137146,,,,,
,0.001,92,,,,,,,,,,,,,,,
23,,95,,,,,,,,,,,0.4999999701976776,0.39633333683013916,2.612468719482422,0.38263893127441406,0.45111116766929626
23,,95,,,,,,0.9655172228813171,0.9503898620605469,1.0601428747177124,0.956384003162384,0.9539474248886108,,,,,
,0.001,96,,,,,,,,,,,,,,,
24,,99,,,,,,,,,,,0.5,0.39720335602760315,2.5463714599609375,0.40542328357696533,0.44761908054351807
